timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
59038,0.02,0.38,1.03,1.10,31.23,31.94,OFF
59237,0.02,0.02,0.03,0.04,30.63,31.94,OFF
59338,0.02,0.39,1.03,1.10,33.19,31.94,OFF
59438,0.02,0.38,1.03,1.10,18.40,31.94,OFF
59637,0.02,0.02,0.03,0.04,23.49,31.94,OFF
59738,0.03,0.38,1.02,1.09,21.36,31.94,OFF
59838,0.02,0.38,1.03,1.10,38.98,31.94,OFF
60037,0.02,0.02,0.03,0.04,33.98,31.94,OFF
60138,0.02,0.39,1.02,1.09,34.48,31.94,OFF
60238,0.02,0.38,1.03,1.10,26.55,31.94,OFF
60437,0.02,0.02,0.03,0.04,32.71,31.94,OFF
60538,0.02,0.39,1.02,1.09,19.12,31.94,OFF
60638,0.02,0.38,1.03,1.10,21.47,31.94,OFF
60837,0.02,0.38,1.70,1.74,33.65,31.94,OFF
60938,0.02,0.38,1.03,1.10,29.55,31.94,OFF
61038,0.02,0.39,1.03,1.10,27.92,31.94,OFF
61237,0.02,0.02,0.03,0.04,45.91,31.94,OFF
62009,0.02,0.38,1.02,1.09,18.75,31.94,OFF
62108,0.02,0.38,1.03,1.10,31.00,31.94,OFF
62208,0.02,0.39,1.02,1.10,31.93,31.94,OFF
62407,0.02,0.02,0.03,0.04,26.13,31.94,OFF
62508,0.02,0.38,1.03,1.10,40.88,31.94,OFF
62608,0.02,0.39,1.03,1.10,34.40,31.94,OFF
62807,0.02,0.02,0.03,0.04,34.44,31.94,OFF
62908,0.02,0.38,1.02,1.09,37.06,31.94,OFF
63008,0.02,0.39,1.04,1.11,26.13,31.94,OFF
63207,0.02,0.02,0.03,0.04,90.10,31.94,OFF
63308,0.02,0.38,1.03,1.10,87.52,31.94,OFF
63408,0.02,0.38,1.03,1.10,38.27,31.94,OFF
63607,0.02,0.02,0.03,0.04,78.41,31.94,OFF
63708,0.02,0.38,1.03,1.10,59.87,31.94,OFF
